Period,J1,C1,M1,UK1,G1,US1,J2,C2,M2,UK2,G2,US2
1,0.19762114,0.111340459,0.067311112,0.12522123,0.156461139,0.34204492,0.184278361,0.104228948,0.066271361,0.13186329,0.173749228,0.339608812
2,0.184385396,0.103556297,0.064572583,0.125193179,0.163880576,0.358411969,0.163088281,0.1086576,0.070585992,0.130152462,0.167819,0.359696664
3,0.184663083,0.10325118,0.068079267,0.125933023,0.157319708,0.360753739,0.166807614,0.10539889,0.072869898,0.124889805,0.167400448,0.362633345
4,0.189128015,0.091794067,0.061187959,0.127510115,0.162204008,0.368175837,0.167466132,0.100570492,0.067814582,0.125565711,0.170237095,0.368345988
5,0.1883982,0.090668378,0.060766388,0.130433019,0.163085093,0.366648922,0.166927657,0.099371177,0.067435772,0.126763722,0.171710301,0.367791371
6,0.191331613,0.093552575,0.061839239,0.126936895,0.158849464,0.367490215,0.169529947,0.101548415,0.068411825,0.123121573,0.167944993,0.369443247
7,0.186649418,0.092385668,0.061463586,0.128514912,0.159684253,0.371302163,0.167901489,0.101488987,0.06453104,0.126415645,0.166464455,0.373198384
8,0.203623031,0.091421986,0.070045791,0.122968813,0.138220507,0.373719873,0.166592264,0.097631984,0.060312585,0.128061601,0.166799667,0.3806019
9,0.208504579,0.087170326,0.068575641,0.120410408,0.139701035,0.375638012,0.15871468,0.103574324,0.068997103,0.122786055,0.159468661,0.386459176
10,0.208615916,0.080678974,0.06775145,0.121355698,0.140830248,0.380767713,0.16381446,0.091985473,0.064336708,0.123864443,0.16198459,0.394014327
11,0.196504366,0.081094976,0.065460581,0.120921502,0.137544266,0.398474308,0.162512839,0.095467334,0.065740038,0.121932449,0.160037363,0.394309978
12,0.199631015,0.077680478,0.060147447,0.12196453,0.147197631,0.393378898,0.16663488,0.094659933,0.059313052,0.120465623,0.158939761,0.399986751
13,0.209456611,0.07927795,0.062678034,0.121745533,0.140545241,0.386296631,0.155467391,0.104010731,0.067098213,0.122783497,0.160468625,0.390171543
14,0.173617951,0.13929327,0.055680889,0.113062282,0.137472314,0.380873294,0.158410225,0.099539284,0.065478638,0.119760784,0.162911427,0.393899643
15,0.182369986,0.07804385,0.061931085,0.117661451,0.149649423,0.410344205,0.156399822,0.113610659,0.060096144,0.121617854,0.157308496,0.390967026
16,0.183934746,0.075513942,0.060972009,0.117339492,0.152744874,0.409494936,0.161048141,0.101653942,0.058204121,0.122357931,0.159208162,0.397527703
17,0.187960082,0.08665217,0.065505455,0.131065835,0.147984052,0.380832405,0.159415889,0.095315899,0.056134198,0.123287134,0.160984696,0.404862184
18,0.188744675,0.088723354,0.067928546,0.131334421,0.14748811,0.375780894,0.161812314,0.093944861,0.057767724,0.122634848,0.160316006,0.403524247
19,0.187219828,0.091126525,0.067757841,0.131241059,0.147074178,0.37558057,0.162169938,0.094193891,0.057687559,0.121575927,0.157933833,0.406438851
20,0.187744075,0.08860082,0.06867738,0.131593069,0.147331636,0.376053021,0.16276804,0.09144751,0.058461893,0.122227768,0.158355951,0.406738837
21,0.189037383,0.089829075,0.065502631,0.13290023,0.148469925,0.374260756,0.16416385,0.091870486,0.055746098,0.123359884,0.159757968,0.405101713
22,0.18773162,0.088540769,0.069516808,0.131489124,0.147157243,0.375564435,0.163192432,0.090259419,0.05904653,0.122156066,0.158584738,0.406760816
23,0.187702175,0.092401013,0.070831112,0.129342179,0.145029134,0.374694387,0.163077588,0.094919625,0.060328048,0.12029738,0.156287133,0.405090226
24,0.186238054,0.093688943,0.069152353,0.129973864,0.145560081,0.375386705,0.161352259,0.097140329,0.058983958,0.121459975,0.156880967,0.404182512
25,0.187296363,0.09248216,0.069755402,0.131143434,0.146510264,0.372812377,0.161889331,0.095019215,0.059119443,0.123808587,0.158411638,0.401751787
26,0.185108261,0.09380996,0.068987549,0.132663514,0.147858885,0.371571832,0.158913247,0.095520434,0.058002467,0.127036921,0.160038813,0.400488118
27,0.185997362,0.095664367,0.068724066,0.131072717,0.146276328,0.372265161,0.159205741,0.094253853,0.056960502,0.127176438,0.158961113,0.403442353
28,0.188996002,0.094185097,0.065168179,0.131116838,0.146670791,0.373863094,0.161379247,0.091448992,0.053776532,0.128000088,0.159361563,0.406033578
29,0.185014172,0.092365494,0.06962747,0.130979516,0.146971564,0.375041784,0.161144734,0.071054116,0.057578585,0.130384357,0.16272135,0.417116858
30,0.187435958,0.093756783,0.068892565,0.129291155,0.145291655,0.375331885,0.162788775,0.074573415,0.056856678,0.128487848,0.160533701,0.416759584
31,0.185069145,0.092901388,0.069733015,0.131068298,0.146830434,0.37439772,0.160215158,0.076282125,0.05721175,0.129837232,0.161762127,0.414691607
32,0.188033132,0.093224936,0.067174684,0.12973861,0.145677345,0.376151293,0.16314868,0.074070165,0.055257423,0.128804857,0.160874613,0.417844261
33,0.187200166,0.091624142,0.065862651,0.129660932,0.145219504,0.380432606,0.162773139,0.066868989,0.053607305,0.130656383,0.161800911,0.424293273
34,0.18975234,0.08914603,0.065783547,0.128803248,0.144029594,0.38248524,0.164445073,0.065711048,0.053094159,0.130327371,0.160718845,0.425703505
35,0.190846133,0.087360299,0.064016588,0.129394039,0.144229194,0.384153747,0.165515444,0.060776936,0.051266988,0.131993886,0.162058159,0.428388586
36,0.187094917,0.087172826,0.066386423,0.130858787,0.145464289,0.383022758,0.162395013,0.058576485,0.053018914,0.133939986,0.164006095,0.428063507
37,0.187761442,0.08666786,0.068648922,0.127851086,0.142755544,0.386315146,0.165762177,0.067368582,0.056372002,0.133250521,0.163825748,0.41342097
38,0.187678543,0.086213728,0.067662813,0.130566864,0.145100958,0.382777095,0.165827703,0.065277677,0.055360824,0.13632653,0.166824053,0.410383212
39,0.188549545,0.084616282,0.063238061,0.131456912,0.146171301,0.385967899,0.166766656,0.061274172,0.051895743,0.137491486,0.168290614,0.414281328
40,0.187718334,0.08403051,0.062150424,0.133007584,0.147670391,0.385422757,0.166466789,0.057306814,0.051198324,0.139543857,0.17049918,0.414985036
41,0.189075049,0.081049685,0.062379777,0.134632529,0.149000004,0.383862956,0.165793002,0.053023359,0.050413172,0.139525808,0.17066461,0.420580048
42,0.189253724,0.08143464,0.062148564,0.134704921,0.148951162,0.383506988,0.166494008,0.05069847,0.048183502,0.140109981,0.171725813,0.422788225
43,0.187743626,0.081050158,0.062633952,0.135088928,0.149279803,0.384203533,0.165543875,0.049212848,0.046658611,0.140764868,0.172815777,0.425004022
44,0.189211157,0.080200044,0.060583501,0.136566777,0.15059438,0.38284414,0.164243769,0.048747407,0.045631389,0.140046438,0.171573747,0.42975725
45,0.190277375,0.079954182,0.060088853,0.135290051,0.149511353,0.384878186,0.164815497,0.049403874,0.046432879,0.138414123,0.169928762,0.431004865
46,0.188814362,0.078391586,0.056723561,0.133660477,0.149151139,0.393258875,0.165984596,0.052638198,0.048014052,0.136853571,0.168930314,0.427579269
47,0.19024414,0.078657726,0.057386813,0.133231394,0.148649085,0.391830842,0.167326714,0.052810908,0.048582429,0.136506999,0.168470695,0.426302254
48,0.187891218,0.077515581,0.058064363,0.135023921,0.150306095,0.391198822,0.165134168,0.052126955,0.049023668,0.138226376,0.170204652,0.425284181
49,0.188735674,0.07655114,0.058275154,0.136136138,0.151269622,0.389032272,0.165870912,0.051897029,0.049174937,0.139299633,0.171182423,0.422575065
50,0.187731666,0.078896495,0.057868302,0.134786326,0.150059173,0.390658037,0.164666594,0.056245941,0.048936354,0.137575657,0.169371239,0.423204217
51,0.183573603,0.087891255,0.06139041,0.133183936,0.148228648,0.385732148,0.163862405,0.05956672,0.056558896,0.137293969,0.170862493,0.411855517
52,0.185408434,0.087792529,0.061284776,0.132940651,0.147902263,0.384671347,0.165593163,0.058881356,0.056163236,0.137192153,0.170720019,0.411450074
53,0.185933362,0.089635027,0.061313438,0.131314638,0.146383632,0.385419903,0.165854076,0.0627315,0.056225416,0.135277203,0.168625759,0.411286047
54,0.187822425,0.088409216,0.057270292,0.133199673,0.148148107,0.385150288,0.167515169,0.060434793,0.05262779,0.137276009,0.170767994,0.411378246
55,0.187554936,0.086968643,0.057808354,0.134265884,0.149311788,0.384090395,0.166108379,0.062002398,0.054427123,0.137466346,0.17137493,0.408620824
56,0.194739462,0.08857114,0.057753221,0.135452367,0.147932365,0.375551445,0.171706826,0.066173121,0.055261871,0.138124882,0.17310025,0.39563305
57,0.193049288,0.088949377,0.059389567,0.135131813,0.147828129,0.375651825,0.169468611,0.068307446,0.05737094,0.137183403,0.172642104,0.395027495
58,0.194591655,0.088404115,0.05997915,0.134802405,0.147483305,0.374739369,0.17093894,0.067236621,0.057959931,0.136977557,0.172431633,0.394455318
59,0.195729969,0.08825135,0.059333249,0.133510148,0.146412876,0.376762408,0.172028858,0.066226631,0.057292257,0.135815749,0.171431574,0.397204932
60,0.193544576,0.087758489,0.058481846,0.135436416,0.148199438,0.376579235,0.16990439,0.065989235,0.056461143,0.13762952,0.173364664,0.396651047
