Period,J1,C1,M1,UK1,G1,US1,J2,C2,M2,UK2,G2,US2
1,241745,136200,82340,153180,191395,418415,223760,126560,80470,160115,210975,412370
2,225257,126511,78886,152944,200207,437859,199296,132781,86257,159048,205077,439554
3,218948,122421,80719,149314,186528,427732,195273,123385,85305,146202,195967,424516
4,226105,109741,73151,152440,193917,440159,201373,120933,81545,150989,204705,442925
5,232168,111733,74884,160736,200974,451831,204670,121839,82683,155425,210534,450949
6,238165,116452,76976,158008,197732,457443,211571,126731,85377,153654,209593,461060
7,240805,119191,79297,165803,206016,479034,216853,131078,83345,163272,214997,482004
8,263252,118194,90558,158979,178697,483160,216069,126628,78225,166095,216338,493638
9,272636,113982,89668,157446,182670,491176,203766,132974,88582,157639,204734,496156
10,274351,106101,89100,159595,185206,500748,217092,121902,85261,164149,214667,522160
11,266017,109782,88617,163697,186200,539433,218349,128268,88327,163826,215023,529787
12,271055,105473,81667,165601,199862,534122,228911,130037,81480,165487,218340,549473
13,294124,111324,88014,170958,197357,542447,224968,150508,97094,177673,232205,564595
14,245035,196591,78585,159570,194021,537544,224249,140910,92693,169536,230621,557613
15,256406,109727,87073,165428,210402,576930,218763,158912,84059,170112,220034,546862
16,262888,107928,87144,167707,218310,585269,228971,144527,82752,173963,226355,565187
17,266927,123057,93026,186130,210156,540830,227823,136217,80222,176191,230065,578593
18,270889,127337,97492,188493,211677,539326,230773,133982,82387,174899,228639,575497
19,270759,131788,97992,189802,212700,543168,230539,133905,82008,172831,224517,577789
20,272540,128618,99696,191028,213875,545900,237064,133189,85147,178019,230638,592396
21,274832,130598,95231,193217,215853,544119,239322,133931,81268,179837,232899,590567
22,274562,129493,101670,192306,215221,549272,239386,132401,86615,179190,232627,596675
23,277073,136396,104556,190926,214082,553098,240037,139714,88798,177068,230042,596260
24,277764,139732,103137,193849,217095,559869,239252,144039,87461,180100,232622,599319
25,281100,138800,104691,196824,219887,559528,240202,140984,87718,183700,235042,596096
26,281901,142863,105061,202033,225174,565866,241568,145203,88171,193112,243279,608792
27,286111,147156,105715,201623,225010,572638,244704,144871,87550,195474,244328,620103
28,292037,145535,100698,202602,226636,577694,250265,141818,83396,198501,247136,629672
29,293347,146449,110397,207673,233029,594643,255932,112849,91447,207078,258436,662470
30,297065,148594,109187,204912,230271,594859,259876,119049,90766,205118,256276,665315
31,296411,148793,111686,209922,235167,599644,257675,122685,92014,208818,260163,666951
32,302965,150207,108234,209039,234720,606067,262795,119310,89007,207475,259132,673051
33,303783,148685,106880,210410,235658,617355,264528,108671,87119,212334,262948,689533
34,312587,146854,108368,212183,237266,630084,268586,107325,86718,212862,262500,695296
35,316800,145016,106266,214791,239417,637686,274416,100765,84998,218839,268684,710246
36,313868,146240,111369,219527,244029,642554,269939,97368,88130,222640,272617,711543
37,312586,144285,114287,212847,237660,643139,275296,111885,93622,221301,272080,686605
38,315942,145134,113905,219799,244266,644375,277281,109151,92569,227952,278947,686203
39,320067,143638,107348,223151,248129,655189,283533,104177,88232,233760,286124,704352
40,320750,143581,106195,227267,252321,658563,283445,97577,87176,237603,290311,706600
41,326827,140099,107827,232720,257555,663529,283797,90763,86295,238834,292136,719930
42,328764,141465,107962,234004,258752,666213,287843,87650,83302,242229,296888,730937
43,328670,141889,109649,236491,261334,672599,290161,86259,81782,246729,302907,744936
44,332181,140800,106361,239758,264385,672125,285422,84713,79298,243372,298160,746830
45,333557,140160,105336,237164,262094,674693,286583,85904,80738,240676,295474,749436
46,331636,137688,99630,234763,261971,690725,289064,91670,83617,238332,294194,744634
47,336173,138993,101406,235428,262672,692389,291364,91959,84596,237698,293356,742315
48,333189,137459,102966,239439,266539,693716,287508,90756,85353,240660,296336,740444
49,335730,136172,103662,242164,269084,692025,290051,90750,85990,243587,299339,738938
50,331536,139332,102196,238034,265006,689906,286482,97855,85138,239350,294667,736278
51,326522,156332,109195,236894,263654,686101,285632,103832,98589,239320,297834,717914
52,333092,157722,110100,238832,265711,691074,289562,102962,98209,239899,298527,719476
53,331556,159837,109334,234160,261031,687280,289081,109340,98000,235786,293912,716865
54,339033,159585,103377,240435,267418,695224,300184,108298,94308,245996,306013,737182
55,339062,157222,104506,242726,269926,694359,299664,111854,98188,247993,309165,737163
56,349392,158910,103618,243022,265413,673796,308313,118819,99227,248014,310815,710390
57,351847,162117,108242,246288,269428,684654,306737,123636,103841,248301,312481,714997
58,353524,160608,108967,244902,267940,680807,310914,122294,105421,249143,313629,717459
59,354970,160050,107605,242130,265530,683285,311060,119750,103595,245580,309980,718220
60,352195,159695,106420,246455,269680,685265,309830,120335,102960,250975,316140,723315
